catalog_rank,common_name,scientific_name,kingdom,category,priority,planned_source,notes,inat_taxon_id,observations_count,iconic_taxon_name,wikipedia_url
101,common mugwort,Artemisia vulgaris,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,52856,145212,Plantae,http://en.wikipedia.org/wiki/Artemisia_vulgaris
102,Coyote,Canis latrans,Animalia,mammal,P0,iNaturalist species_counts,iconic_taxon=Mammalia; common species by verifiable photo observations,42051,154764,Mammalia,http://en.wikipedia.org/wiki/Coyote
103,Great Cormorant,Phalacrocorax carbo,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,4270,167397,Aves,http://en.wikipedia.org/wiki/Great_cormorant
104,Killdeer,Charadrius vociferus,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,4793,149492,Aves,https://en.wikipedia.org/wiki/Killdeer
105,Black-capped Chickadee,Poecile atricapillus,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,144815,163329,Aves,http://en.wikipedia.org/wiki/Black-capped_chickadee
106,Eurasian Tree Sparrow,Passer montanus,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,13851,153001,Aves,http://en.wikipedia.org/wiki/Eurasian_tree_sparrow
107,Eurasian Blue Tit,Cyanistes caeruleus,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,144849,163237,Aves,http://en.wikipedia.org/wiki/Eurasian_blue_tit
108,Common Buzzard,Buteo buteo,Animalia,bird,P0,iNaturalist species_counts,iconic_taxon=Aves; common species by verifiable photo observations,204472,159243,Aves,http://en.wikipedia.org/wiki/Common_buzzard
109,American Bullfrog,Lithobates catesbeianus,Animalia,amphibian,P0,iNaturalist species_counts,iconic_taxon=Amphibia; common species by verifiable photo observations,65979,142002,Amphibia,http://en.wikipedia.org/wiki/American_bullfrog
110,catchweed bedstraw,Galium aparine,Plantae,plant,P0,iNaturalist species_counts,iconic_taxon=Plantae; common species by verifiable photo observations,53059,137726,Plantae,http://en.wikipedia.org/wiki/Galium_aparine
